Study ID,Study type,Ecosystem type,Habitat,Sampling size,Chi2,p (Chi2),a->J,p (a->J),a->B,p (a->B),b->J,p (b->J),b->B,p (b->B),J->B,p (J->B)
HILL01,field,freshwater,lake,100,0.052,0.819,-0.179,0.069,0.7,0.0001,-0.067,0.504,-0.041,0.654,-0.087,0.278
DECL01,exp,freshwater,mesocosm,77,1.513,0.219,-0.121,0.332,0.215,0.058,0.052,0.665,-0.024,0.804,-0.471,0.0001
URABE01,field,freshwater,lake,77,2.052,0.152,-0.026,0.81,0.684,0.0001,-0.11,0.322,-0.117,0.125,-0.031,0.707
LEWA01,exp,marine,mesocosm,12,0.406,0.524,0.473,0.068,0.554,0.024,0.346,0.228,-0.278,0.062,-0.532,0.04
HILL03,exp,freshwater,microcosm,90,0.0001,0.993,-0.07,0.542,0.533,0.0001,0.139,0.171,0.003,0.974,-0.297,0.0001
HILL04,field,freshwater,lake,226,2.755,0.097,-0.052,0.438,0.168,0.003,0.132,0.027,0.027,0.633,-0.572,0.0001
LEWA02,exp,marine,mesocosm,24,0.024,0.877,0.015,0.939,0.169,0.701,-0.005,0.982,-0.216,0.316,0.068,0.701
LEWA03,exp,marine,mesocosm,12,0.188,0.665,-0.221,0.307,-0.029,0.801,-0.101,0.656,0.03,0.9,-0.324,0.409
LEWA04,exp,marine,mesocosm,12,0.043,0.836,0.205,0.302,0.035,0.866,0.166,0.148,0.07,0.48,-0.799,0.0001
HILL05,exp,marine,microcosm,59,1.138,0.286,0.164,0.289,-0.021,0.842,-0.014,0.93,-0.098,0.359,-0.544,0.0001
HILL06,field,freshwater,lake,131,0.369,0.543,0.175,0.043,0.197,0.005,-0.104,0.236,0.092,0.19,-0.673,0.0001
AMCAMP,field,terrestial,grassland,30,0.448,0.503,-0.028,0.824,0.292,0.21,-0.388,0.038,-0.223,0.229,-0.252,0.066
AZI,field,terrestial,grassland,29,1.228,0.268,0.2,0.133,0.025,0.831,-0.148,0.354,0.327,0.039,0.0001,0.9999
BARTA,field,terrestial,grassland,30,0.897,0.343,0.025,0.893,0.086,0.632,0.307,0.063,-0.155,0.509,-0.124,0.585
BLDR,field,terrestial,grassland,20,0.156,0.693,-0.382,0.193,0.301,0.085,-0.119,0.62,-0.026,0.88,0.192,0.243
BNCH,field,terrestial,grassland,30,0.02,0.887,-0.401,0.008,-0.185,0.277,0.378,0.014,0.211,0.266,-0.1,0.616
BOGONG,field,terrestial,grassland,30,0.015,0.902,0.462,0.002,-0.098,0.506,0.076,0.657,-0.084,0.589,-0.077,0.686
BTTR,field,terrestial,grassland,30,0.419,0.517,-0.013,0.947,-0.095,0.687,-0.032,0.847,0.152,0.433,-0.026,0.824
BURRAWAN,field,terrestial,grassland,30,0.625,0.429,-0.167,0.39,0.324,0.168,-0.375,0.016,0.001,0.997,-0.152,0.412
CDPT,field,terrestial,grassland,60,0.933,0.334,0.299,0.003,0.478,0.0001,-0.133,0.318,-0.199,0.062,-0.048,0.638
CDCR,field,terrestial,grassland,47,0.072,0.788,0.12,0.531,0.424,0.0001,-0.009,0.951,-0.051,0.759,0.122,0.252
COWI,field,terrestial,grassland,30,1.137,0.286,0.034,0.826,-0.049,0.663,0.106,0.56,-0.312,0.029,-0.5,0.001
FNLY,field,terrestial,grassland,17,0.006,0.94,0.033,0.87,0.178,0.344,-0.336,0.208,-0.256,0.251,0.076,0.619
FRUE,field,terrestial,grassland,30,0.182,0.669,0.146,0.492,0.066,0.667,0.156,0.372,0.036,0.845,-0.032,0.846
GILB,field,terrestial,grassland,30,0.074,0.786,0.066,0.592,0.14,0.317,-0.415,0.005,0.222,0.197,-0.116,0.464
CBGB,field,terrestial,grassland,54,0.438,0.508,-0.055,0.661,-0.036,0.791,-0.07,0.595,-0.091,0.492,-0.005,0.962
HILL07,field,freshwater,lake,80,1.474,0.225,-0.13,0.263,0.447,0.0001,0.056,0.584,-0.083,0.363,-0.261,0.004
HILL08,field,freshwater,lake,78,0.126,0.723,0.039,0.724,-0.219,0.001,-0.093,0.397,0.15,0.031,-0.671,0.0001
HANS,field,marine,brackish,260,0.0001,0.996,-0.006,0.923,-0.22,0.0001,0.039,0.518,0.082,0.18,-0.084,0.211
NOORD,field,marine,coastal,154,0.176,0.675,0.223,0.002,0.271,0.001,0.024,0.763,0.208,0.008,-0.139,0.104
ROTT,field,marine,coastal,88,0.026,0.872,0.077,0.299,0.04,0.683,0.04,0.698,0.051,0.611,-0.347,0.001
TER,field,marine,coastal,35,0.0001,0.997,0.267,0.095,0.025,0.873,-0.093,0.534,0.097,0.611,-0.259,0.125
VLISS,field,marine,brackish,256,1.014,0.314,-0.035,0.546,-0.259,0.0001,-0.063,0.302,0.044,0.51,-0.051,0.432
WAL01,field,marine,coastal,157,1.109,0.292,0.157,0.045,-0.244,0.009,-0.089,0.254,0.317,0.0001,-0.273,0.0001
WAL02,field,marine,coastal,159,0.609,0.435,0.079,0.282,0.019,0.777,-0.253,0.002,0.132,0.109,-0.192,0.017
LOD,field,marine,brackish,272,0.123,0.725,0.087,0.129,-0.465,0.0001,-0.036,0.527,0.163,0.001,-0.014,0.834
HOD01,field,marine,coastal,17,0.13,0.718,0.083,0.712,-0.05,0.777,0.072,0.752,0.107,0.396,-0.823,0.0001
HOD02,field,marine,coastal,10,3.103,0.078,0.407,0.159,0.438,0.0001,0.121,0.452,-0.01,0.91,-0.9999,0.0001
HOD03,field,marine,coastal,14,0.208,0.648,0.102,0.703,0.194,0.195,0.455,0.072,-0.032,0.858,-0.763,0.0001
GAM01,field,terrestial,forest,1627,0.853,0.356,0.119,0.0001,0.091,0.0001,-0.008,0.747,-0.003,0.9,0.16,0.0001
L4,field,marine,coastal,174,3.378,0.066,-0.191,0.012,0.366,0.0001,-0.094,0.21,0.074,0.243,-0.404,0.0001
DONK01,field,freshwater,lake,36,0.155,0.694,-0.047,0.768,0.714,0.0001,-0.109,0.565,0.081,0.459,-0.21,0.2
DONK02,field,freshwater,lake,55,0.125,0.724,0.221,0.106,0.231,0.016,0.076,0.462,-0.006,0.962,-0.226,0.23
GLAC,field,terrestial,grassland,29,1.105,0.293,-0.344,0.028,0.068,0.75,-0.178,0.372,0.03,0.85,-0.05,0.82
HALL,field,terrestial,grassland,30,1.235,0.266,0.301,0.078,-0.115,0.533,-0.183,0.284,0.159,0.372,0.277,0.139
HART,field,terrestial,grassland,30,0.15,0.689,-0.187,0.246,-0.179,0.281,0.002,0.988,0.129,0.459,-0.214,0.197
HNVR,field,terrestial,grassland,30,0.39,0.532,-0.127,0.289,0.443,0.002,-0.377,0.014,0.205,0.348,-0.018,0.869
KINY,field,terrestial,grassland,30,1.242,0.265,-0.009,0.944,0.141,0.364,0.31,0.099,0.132,0.473,0.02,0.909
LANCASTER,field,terrestial,grassland,26,0.772,0.38,0.211,0.233,-0.438,0.001,0.213,0.288,-0.08,0.568,0.341,0.095
LEAD,field,terrestial,grassland,30,0.047,0.828,-0.331,0.147,-0.164,0.323,0.139,0.349,0.145,0.504,-0.196,0.201
LOOK,field,terrestial,grassland,30,0.559,0.455,-0.009,0.939,0.092,0.497,0.003,0.987,-0.341,0.052,0.43,0.004
MTCA,field,terrestial,grassland,8,0.686,0.408,-0.141,0.626,0.53,0.012,-0.078,0.789,0.655,0.0001,0.232,0.205
PAPE,field,terrestial,grassland,10,2.293,0.13,-0.078,0.76,-0.253,0.087,0.246,0.454,0.49,0.041,-0.366,0.136
SAGE,field,terrestial,grassland,30,0.617,0.432,0.072,0.708,0.399,0.005,0.174,0.358,-0.479,0.0001,0.067,0.625
SAVA,field,terrestial,grassland,20,1.841,0.175,0.038,0.806,-0.488,0.007,0.08,0.581,0.451,0.021,-0.083,0.492
SEDG,field,terrestial,grassland,29,0.189,0.664,-0.296,0.064,0.057,0.754,-0.082,0.593,-0.211,0.299,-0.198,0.238
SERENG,field,terrestial,grassland,29,0.827,0.363,-0.333,0.025,0.083,0.528,0.024,0.864,-0.014,0.937,-0.374,0.089
SEVI,field,terrestial,grassland,40,0.795,0.373,0.106,0.484,-0.078,0.599,0.04,0.782,-0.042,0.809,-0.247,0.067
SHPS,field,terrestial,grassland,38,1.287,0.257,-0.05,0.769,0.404,0.011,-0.224,0.174,-0.249,0.097,-0.189,0.184
SIER,field,terrestial,grassland,30,0.052,0.819,0.141,0.355,0.344,0.012,0.146,0.42,0.016,0.917,-0.225,0.105
SMITH,field,terrestial,grassland,30,0.065,0.799,0.27,0.034,0.299,0.028,0.001,0.994,0.373,0.025,-0.301,0.104
SPIN,field,terrestial,grassland,30,0.01,0.919,0.053,0.796,0.31,0.083,0.147,0.486,-0.048,0.762,-0.039,0.792
SUMM,field,terrestial,grassland,30,0.01,0.92,-0.057,0.697,0.024,0.894,-0.086,0.654,0.215,0.154,-0.22,0.201
TEMPLE,field,terrestial,grassland,25,0.023,0.879,-0.046,0.797,-0.051,0.804,-0.192,0.179,-0.294,0.186,0.237,0.108
TYSO,field,terrestial,grassland,40,0.196,0.658,0.017,0.928,-0.279,0.066,0.053,0.762,-0.024,0.871,-0.391,0.008
UKUL,field,terrestial,grassland,30,0.37,0.543,-0.094,0.507,-0.236,0.241,0.208,0.212,-0.248,0.099,-0.111,0.527
UNC,field,terrestial,grassland,30,0.303,0.582,0.188,0.189,-0.401,0.01,-0.213,0.185,-0.188,0.263,0.183,0.235
VALM,field,terrestial,grassland,30,0.348,0.555,0.097,0.589,0.169,0.232,0.062,0.747,-0.257,0.167,-0.131,0.525
MEIER01,field,freshwater,rockpools,30,0.419,0.517,0.187,0.097,0.508,0.0001,-0.199,0.241,-0.004,0.954,-0.655,0.0001
